,event_id,matchday,date,home,score,away,home_score,away_score,home_win,away_win,tie,pred_home_win_prob,pred_away_win_prob,correct_pred,briar_score
0,0,1,2024-04-13,Atlético Ottawa,2–1,York9 FC,2.0,1.0,1.0,0.0,0.0,0.6014158414745573,0.3985841585254427,1.0,0.15886933142743526
1,1,1,2024-04-13,Forge FC,2–1,Cavalry FC,2.0,1.0,1.0,0.0,0.0,0.5314900705287112,0.4685099294712888,1.0,0.219501554013192
2,2,1,2024-04-13,Pacific FC,1–0,HFX Wanderers,1.0,0.0,1.0,0.0,0.0,0.5895427417112131,0.4104572582887869,1.0,0.1684751608819479
3,3,1,2024-04-14,Vancouver FC,4–1,Valour FC,4.0,1.0,1.0,0.0,0.0,0.4121005395587598,0.5878994604412402,0.0,0.34562577558710134
4,4,2,2024-04-18,Vancouver FC,2–0,HFX Wanderers,2.0,0.0,1.0,0.0,0.0,0.4595069124099269,0.5404930875900731,0.0,0.2921327777326504
5,5,2,2024-04-19,Pacific FC,2–0,Valour FC,2.0,0.0,1.0,0.0,0.0,0.7170893157245899,0.2829106842754101,1.0,0.08003845527718077
6,6,2,2024-04-20,Atlético Ottawa,1–1,Cavalry FC,1.0,1.0,0.0,0.0,1.0,0.5262181546092926,0.47378184539070745,2.0,0.2769055462404093
7,7,2,2024-04-21,York9 FC,,Forge FC,,,,,,0.41629314650974375,0.5837068534902563,2.0,
8,8,3,2024-04-26,York9 FC,,Vancouver FC,,,,,,,,2.0,
9,9,3,2024-04-27,HFX Wanderers,,Atlético Ottawa,,,,,,0.43602941761006014,0.5639705823899399,2.0,
10,10,3,2024-04-27,Forge FC,,Valour FC,,,,,,,,2.0,
11,11,3,2024-04-28,Cavalry FC,,Pacific FC,,,,,,0.5385226796481901,0.4614773203518099,2.0,
